85045129,840439106542,1,12.99
85045129,840439106047,1,12.99
88901154,850008118272,1,7.99
45966160,719499008045,2,11.99
66418767,784762078117,1,10.99
91450500,10857545008742,1,9.99
91450500,10857545008759,1,9.99
82314282,784762077363,4,10.99
78595000,649964327220,2,12.99
78595000,817458027103,1,12.99
87709042,784762078810,1,10.99
66418767,784762078810,1,10.99
45083030,719499005280,1,11.99
45083030,719499005051,1,11.99
45083030,719499005310,1,11.99
85045129,719499005310,1,11.99
83030178,619682010124,1,6.99
39917520,619682010124,1,6.99
77403030,619682010124,5,6.99
82575244,619682010124,1,6.99
43895259,619682010124,1,6.99
42431786,619682010124,3,6.99
44192430,850008118241,1,7.99
88901154,850008118241,1,7.99
42923231,784762078612,1,10.99
42923231,784762078612,1,10.99
87709042,784762078612,1,10.99
85465580,784762078612,1,10.99
20910190,784762078612,1,10.99
77867710,850008118630,1,7.99
77867710,784762071682,2,14.99
49182800,784762071682,1,14.99
84188828,850008118258,1,7.99
88901154,850008118258,1,7.99
43430083,850008118258,1,7.99
20910190,619682009906,1,6.99
85679431,619682009906,2,6.99
83987469,784762078414,1,10.99
83987469,784762078315,1,10.99
87709042,784762078315,1,10.99
92275560,784762078315,3,10.99
66418767,784762078315,1,10.99
24654290,784762078315,1,10.99
90088840,619682010407,2,6.99
78595000,619682010407,2,6.99
42860712,619682010407,2,6.99
98155490,619682010407,2,6.99
42924005,619682010407,3,6.99
45083030,619682010407,5,6.99
47410840,619682010407,2,6.99
56530660,619682010407,1,6.99
39368390,619682010407,1,6.99
55914170,619682010407,4,6.99
42723742,619682010407,2,6.99
47658435,619682010407,2,6.99
88405013,619682010407,3,6.99
25235613,619682010407,3,6.99
48833142,619682010407,1,6.99
42431786,619682010407,6,6.99
47532006,619682010407,2,6.99
23095095,619682010407,1,6.99
85679431,619682010407,1,6.99
47518838,619682010407,5,6.99
74406704,619682010407,2,6.99
44371429,619682010407,3,6.99
43775405,619682010407,2,6.99
77403030,619682010407,5,6.99
66426853,619682010407,2,6.99
86642489,619682010407,1,6.99
48733547,619682010407,5,6.99
46258179,619682010407,2,6.99
85679431,619682010407,2,6.99
45651453,619682010407,4,6.99
45746099,619682010407,1,6.99
83030178,619682010407,1,6.99
42922403,619682010407,3,6.99
77867710,619682010407,3,6.99
24045770,619682010407,2,6.99
45493971,619682010407,1,6.99
84188828,850008118296,2,7.99
69381065,850008118296,5,7.99
88901154,850008118296,1,7.99
84188828,850008118487,2,7.99
92275560,850008118487,1,7.99
82157334,619682010285,3,6.99
42431786,619682010285,2,6.99
98690010,619682010285,1,6.99
46089059,619682010285,4,6.99
49368787,619682010285,1,6.99
84188828,850008118616,2,7.99
77867710,850008118500,1,7.99
83987469,817458027318,1,12.99
83987469,817458027080,1,12.99
24045770,619682009876,1,6.99
85679431,619682010247,2,6.99
47531714,850008118616,1,7.99
85045129,840439106108,1,12.99
85045129,719499005044,1,11.99
77403030,719499005044,4,11.99
77403030,619682010247,5,6.99
23346704,619682010247,2,6.99
66418767,719499005624,1,11.99
82314282,784762077325,4,10.99
90088840,619682010247,1,6.99
42923231,619682010247,2,6.99
78595000,817458027097,1,12.99
78595000,649964321617,3,12.99
78595000,817458027080,1,12.99
78595000,619682009876,2,6.99
78595000,619682010247,2,6.99
78878230,619682010247,2,6.99
20910190,619682010247,1,6.99
73965490,619682010247,4,6.99
73965490,784762078513,3,10.99
62094516,619682009876,1,6.99
83030178,619682009876,1,6.99
83030178,619682010247,1,6.99
24357175,619682010247,1,6.99
45083030,719499005044,2,11.99
92275560,719499005044,4,11.99
47410840,817458027080,1,12.99
47410840,619682010247,1,6.99
47410840,842426155281,1,32.99
47410840,719499005044,1,11.99
43430707,719499005044,1,11.99
82575244,619682010247,1,6.99
49182800,619682010247,1,6.99
49182800,619682009876,1,6.99
24654290,719499005044,1,11.99
42431786,619682010247,4,6.99
48555190,619682010247,4,6.99
39368390,619682010247,1,6.99
55914170,619682010247,2,6.99
